protein_id,protein_st19_cis_h2,protein_st19_trans_h2,protein_st19_all_pqtl_h2,protein_st19_polygenic_h2,protein_st19_total_h2,protein_st19_cis_h2_fraction,protein_st19_trans_h2_fraction,protein_hpa_has_match,protein_hpa_rna_tissue_prior,protein_hpa_protein_tissue_prior,protein_hpa_tissue_prior,protein_hpa_is_secreted,protein_hpa_is_membrane
CBS:P35520:OID30200:v1,0.00987409276899949,0.00566929636993591,0.0155433891389354,0.0622,0.0777433891389354,0.127008776930903,0.0729231955633463,1.0,0.8150712758156322,0.865,0.865,0.0,0.0
REG3G:Q6UW15:OID31408:v1,0.0604351312240806,0.0,0.0604351312240806,0.0172,0.0776351312240806,0.778450815644851,0.0,1.0,0.8877885846253728,0.35,0.8877885846253728,1.0,0.0
USO1:O60763:OID21367:v1,0.0,0.00544333030993039,0.00544333030993039,0.0721,0.0775433303099303,0.0,0.0701972727786403,1.0,0.819612458675586,0.5025,0.819612458675586,0.0,0.0
SLMAP:Q14BN4:OID31441:v1,0.0025017726267212,0.0,0.0025017726267212,0.0747,0.0772017726267212,0.0324056370935618,0.0,1.0,0.5025,0.865,0.865,0.0,1.0
STX4:Q12846:OID21326:v1,0.0,0.0020109164567088,0.0020109164567088,0.075,0.0770109164567088,0.0,0.0261120961706672,1.0,0.5025,0.5025,0.5025,0.0,1.0
INPP5D:Q92835:OID30259:v1,0.01527746837285,0.0,0.01527746837285,0.0617,0.07697746837285,0.198466755217925,0.0,1.0,0.797312663778508,0.865,0.865,0.0,0.0
BID:P55957:OID20517:v1,0.00202425395644412,0.00643431365683575,0.00845856761327988,0.0684,0.0768585676132798,0.0263373885215936,0.0837162837747709,1.0,0.7979058971771363,0.865,0.865,0.0,0.0
GORASP2:Q9H8Y8:OID31438:v1,0.00138764159008688,0.00413415291013257,0.00552179450021946,0.0713,0.0768217945002194,0.0180631238714805,0.053814844303341,1.0,0.5025,0.5025,0.5025,0.0,0.0
TRIM25:Q14258:OID31482:v1,0.00413350628531696,0.0,0.00413350628531696,0.0724,0.0765335062853169,0.0540091064155253,0.0,1.0,0.5025,0.5525,0.5525,0.0,0.0
MAVS:Q7Z434:OID21204:v1,0.00433937234678807,0.00160702414447765,0.00594639649126572,0.0705,0.0764463964912657,0.0567635957475623,0.0210215813725275,1.0,0.5025,0.5525,0.5525,0.0,1.0
MYOM2:P54296:OID30131:v1,0.0128171649574902,0.00348722889402224,0.0163043938515125,0.0601,0.0764043938515125,0.167754291492707,0.0456417323432926,1.0,0.7014957492254517,0.9325,0.9325,0.0,0.0
TIMM8A:O60220:OID31143:v1,0.0,0.00143223802389268,0.00143223802389268,0.0748,0.0762322380238927,0.0,0.0187878260040561,1.0,0.5025,0.865,0.865,0.0,0.0
VPS37A:Q8NEZ2:OID21355:v1,0.0,0.00281976554281284,0.00281976554281284,0.0734,0.0762197655428128,0.0,0.0369952009525531,1.0,0.5025,0.5525,0.5525,0.0,0.0
OPHN1:O60890:OID31087:v1,0.00397096977679849,0.0019435439301486,0.00591451370694709,0.0703,0.0762145137069471,0.0521025403647826,0.0255009687212823,1.0,0.5025,0.9325,0.9325,0.0,0.0
PCDH7:O60245:OID31456:v1,0.00723297066653728,0.00976826426357633,0.0170012349301136,0.0592,0.0762012349301136,0.0949193365851728,0.128190366895432,1.0,0.7777813549024073,0.865,0.865,0.0,1.0
PAK4:O96013:OID20819:v1,0.0,0.00159767067732554,0.00159767067732554,0.0746,0.0761976706773255,0.0,0.0209674477332936,1.0,0.5025,1.0,1.0,0.0,0.0
BLNK:Q8WV28:OID30541:v1,0.001666313074889,0.0106754295640014,0.0123417426388904,0.0638,0.0761417426388904,0.0218843569524229,0.140204691855172,1.0,0.780422550235895,1.0,1.0,0.0,0.0
S100A12:P80511:OID21374:v1,0.02920140182586,0.0161339651262657,0.0453353669521257,0.0308,0.0761353669521257,0.383545821014063,0.211911569775592,1.0,0.7975732973134806,1.0,1.0,1.0,0.0
SUGP1:Q8IWZ8:OID31524:v1,0.0296165358969306,0.0,0.0296165358969306,0.0465,0.0761165358969306,0.389094636900375,0.0,1.0,0.5025,0.865,0.865,0.0,0.0
POF1B:Q8WVV4:OID30504:v1,0.00817249548688977,0.00533649507544824,0.013508990562338,0.0623,0.075808990562338,0.107803776653238,0.0703939603451126,1.0,0.803446922889121,0.5025,0.803446922889121,0.0,0.0
VSTM2L:Q96N03:OID20067:v1,0.0183995584832944,0.0159844389932243,0.0343839974765187,0.0414,0.0757839974765187,0.242789495090905,0.210921032480202,1.0,0.6375791247663147,1.0,1.0,1.0,0.0
SEPTIN8:Q92599:OID31079:v1,0.0076017318019706,0.00435495091270991,0.0119566827146805,0.0637,0.0756566827146805,0.100476673430667,0.0575620124547818,1.0,0.8301157089617,1.0,1.0,0.0,0.0
TSPYL1:Q9H0U9:OID30512:v1,0.00812975865345652,0.00142469764128126,0.00955445629473779,0.0661,0.0756544562947378,0.107459085050909,0.0188316420612537,1.0,0.5025,1.0,1.0,0.0,0.0
UXS1:Q8NBZ7:OID21189:v1,0.00750783061946291,0.0418779323502125,0.0493857629696755,0.0262,0.0755857629696755,0.0993286344476672,0.554045242184215,1.0,0.5025,0.9325,0.9325,0.0,0.0
IRAK1:P51617:OID20485:v1,0.0,0.00168514469086634,0.00168514469086634,0.0739,0.0755851446908663,0.0,0.0222946545615328,1.0,0.5025,0.5525,0.5525,0.0,0.0
RABEP1:Q15276:OID30647:v1,0.0024853710643736,0.00456973021584872,0.00705510128022232,0.0685,0.0755551012802223,0.0328948148074839,0.0604820870916483,1.0,0.5025,0.865,0.865,0.0,0.0
RAB33A:Q14088:OID30122:v1,0.00210641120303147,0.0,0.00210641120303147,0.0732,0.0753064112030314,0.0279712068253052,0.0,1.0,0.7754544082667669,1.0,1.0,0.0,0.0
DNPEP:Q9ULA0:OID31118:v1,0.00616904167087613,0.0276282009675485,0.0337972426384247,0.0414,0.0751972426384247,0.0820381366978986,0.367409761291313,1.0,0.5025,0.5025,0.5025,0.0,1.0
RILP:Q96NA2:OID21436:v1,0.00384646306065507,0.00643444712988895,0.010280910190544,0.0648,0.075080910190544,0.0512309061103991,0.0857001748321817,1.0,0.7863729708715622,0.9325,0.9325,0.0,0.0
PLSCR3:Q9NRY6:OID31146:v1,0.00220550825356485,0.00146817054426381,0.00367367879782867,0.0713,0.0749736787978286,0.0294171006269033,0.0195824797156189,1.0,0.5025,0.5525,0.5525,0.0,1.0
NINJ1:Q92982:OID21167:v1,0.0385673138289372,0.00351116680863512,0.0420784806375723,0.0328,0.0748784806375723,0.515065389956443,0.0468915338390733,1.0,0.8272598190486826,1.0,1.0,0.0,1.0
BECN1:Q14457:OID30220:v1,0.0,0.0102193050251316,0.0102193050251316,0.0646,0.0748193050251316,0.0,0.136586473527106,1.0,0.5025,0.5525,0.5525,0.0,0.0
OTUD6B:Q8N6M0:OID31487:v1,0.0,0.00355808513607073,0.00355808513607073,0.0711,0.0746580851360707,0.0,0.0476584033676435,1.0,0.5025,0.865,0.865,0.0,0.0
IFIT3:O14879:OID31283:v1,0.00481790700905486,0.0243148627524708,0.0291327697615257,0.0455,0.0746327697615257,0.0645548466772644,0.325793385803102,1.0,0.5025,0.5525,0.5525,0.0,0.0
CERT:Q9Y5P4:OID20857:v1,0.00149710031499283,0.00660211168254755,0.00809921199754038,0.0664,0.0744992119975404,0.0200955187961217,0.0886198861105474,1.0,0.5025,0.865,0.865,0.0,0.0
PRL:P01236:OID21033:v1,0.0,0.00827653240439458,0.00827653240439458,0.0662,0.0744765324043945,0.0,0.111129400593658,1.0,1.0,1.0,1.0,1.0,0.0
RAD23B:P54727:OID21166:v1,0.00216569787271886,0.00167289204941749,0.00383858992213635,0.0706,0.0744385899221363,0.0290937519770888,0.0224734516218987,1.0,0.5025,0.5025,0.5025,0.0,0.0
PLIN3:O60664:OID20143:v1,0.00194544219187284,0.0017542104375225,0.00369965262939534,0.0705,0.0741996526293953,0.0262190202101044,0.0236417607813374,1.0,0.5025,0.865,0.865,0.0,0.0
DNPH1:O43598:OID20744:v1,0.045269079657652,0.0,0.045269079657652,0.0289,0.074169079657652,0.610349755809348,0.0,1.0,0.5025,0.865,0.865,0.0,0.0
ARF6:P62330:OID31523:v1,0.0,0.00182759434770114,0.00182759434770114,0.072,0.0738275943477011,0.0,0.0247548950206048,1.0,0.5025,0.5025,0.5025,0.0,0.0
MAPRE3:Q9UPY8:OID31177:v1,0.0,0.0120208189614595,0.0120208189614595,0.0617,0.0737208189614595,0.0,0.163058673666442,1.0,0.812279690703877,0.865,0.865,0.0,0.0
ABL1:P00519:OID21280:v1,0.0,0.0032398549045865,0.0032398549045865,0.0703,0.0735398549045865,0.0,0.0440557696066985,1.0,0.5025,1.0,1.0,0.0,0.0
TRIM40:Q6P9F5:OID30885:v1,0.0412679806825987,0.0,0.0412679806825987,0.0321,0.0733679806825987,0.562479439922579,0.0,1.0,0.6991323987123147,0.35,0.6991323987123147,0.0,0.0
NFATC3:Q12968:OID20470:v1,0.0,0.0120632964900211,0.0120632964900211,0.0613,0.0733632964900212,0.0,0.164432312439259,1.0,0.7971322969845007,0.865,0.865,0.0,0.0
ILKAP:Q9H0C8:OID20855:v1,0.0,0.0015362420514761,0.0015362420514761,0.0716,0.0731362420514761,0.0,0.0210052090233846,1.0,0.5025,0.865,0.865,0.0,0.0
PAGR1:Q9BTK6:OID30206:v1,0.0,0.00312888915098689,0.00312888915098689,0.0699,0.0730288891509869,0.0,0.042844539843923,1.0,0.7811648672360615,0.865,0.865,0.0,0.0
DCTN1:Q14203:OID21399:v1,0.0,0.00503686612736587,0.00503686612736587,0.0679,0.0729368661273658,0.0,0.069057890677264,1.0,0.5025,0.5025,0.5025,0.0,0.0
CCDC50:Q8IVM0:OID31001:v1,0.0216218117676022,0.0243761519946206,0.0459979637622228,0.0269,0.0728979637622228,0.296603782214382,0.334387282395572,1.0,0.5025,0.5525,0.5525,0.0,0.0
GOLGA3:Q08378:OID31026:v1,0.010540386626739,0.0223747638396261,0.0329151504663652,0.0399,0.0728151504663652,0.144755405423599,0.307281708495013,1.0,0.5025,0.5525,0.5525,0.0,0.0
PKLR:P30613:OID20682:v1,0.0284059314455425,0.00336263756960618,0.0317685690151487,0.041,0.0727685690151486,0.390359901671682,0.0462100274214017,1.0,0.8150000000000001,1.0,1.0,0.0,0.0
ENAH:Q8N8S7:OID20497:v1,0.00749442232135677,0.00174055114673352,0.00923497346809029,0.0635,0.0727349734680903,0.103037396784707,0.0239300444303746,,,,,,
LYZL2:Q7Z4W2:OID31180:v1,0.0266811271791978,0.00182730652937229,0.0285084337085701,0.044,0.0725084337085701,0.367972742128675,0.0252012963997637,1.0,1.0,0.35,1.0,1.0,0.0
AGR2:O95994:OID20896:v1,0.00721795315903086,0.00708896069952597,0.0143069138585568,0.0582,0.0725069138585568,0.0995484813091247,0.0977694446264089,1.0,0.865,0.9325,0.9325,0.0,0.0
TAB2:Q9NYJ8:OID31319:v1,0.0,0.00140422148158399,0.00140422148158399,0.0711,0.0725042214815839,0.0,0.0193674444451577,1.0,0.5025,0.865,0.865,0.0,0.0
LTB:Q06643:OID31383:v1,0.0321067499512615,0.00411943811894112,0.0362261880702026,0.0362,0.0724261880702026,0.443303048341305,0.0568777431023727,1.0,0.7054157018634651,0.9403552537536636,0.9403552537536636,0.0,0.0
TYRP1:P17643:OID30517:v1,0.00314752396490595,0.00818163084290559,0.0113291548078115,0.0607,0.0720291548078115,0.0436979161188852,0.113587766852684,1.0,0.6727531888068097,0.35,0.6727531888068097,0.0,1.0
BNIP3L:O60238:OID30525:v1,0.0014331244615184,0.00282701444605617,0.00426013890757458,0.0676,0.0718601389075745,0.019943246468834,0.0393405090643122,1.0,0.5025,0.865,0.865,0.0,1.0
PARP1:P09874:OID20500:v1,0.0067503980625887,0.00869439925943299,0.0154447973220216,0.0564,0.0718447973220217,0.0939580639685316,0.121016407360202,1.0,0.5025,0.865,0.865,0.0,0.0
BAX:Q07812:OID20856:v1,0.0,0.00312690156722719,0.00312690156722719,0.0687,0.0718269015672272,0.0,0.0435338501174318,1.0,0.5025,0.5025,0.5025,0.0,0.0
XIAP:P98170:OID30490:v1,0.0,0.00528432603014199,0.00528432603014199,0.0665,0.071784326030142,0.0,0.0736139255235624,1.0,0.5525,0.865,0.865,0.0,0.0
MCEE:Q96PE7:OID31033:v1,0.0190642616447623,0.0,0.0190642616447623,0.0527,0.0717642616447623,0.265651191941912,0.0,1.0,0.5025,0.865,0.865,0.0,0.0
TXNDC9:O14530:OID31121:v1,0.00290138663016869,0.00253244353302419,0.00543383016319288,0.0663,0.0717338301631928,0.0404465595043245,0.0353033363374427,1.0,0.5025,0.5525,0.5525,0.0,0.0
ALDH5A1:P51649:OID31047:v1,0.0157878591155611,0.0,0.0157878591155611,0.0559,0.0716878591155611,0.220230584513774,0.0,1.0,0.7963064438597104,0.9325,0.9325,0.0,0.0
MMP13:P45452:OID20807:v1,0.0113136182354788,0.0,0.0113136182354788,0.0602,0.0715136182354788,0.158202290901091,0.0,1.0,0.8445197902927084,1.0,1.0,1.0,0.0
